product,qty,uom,serial,Owner,# FPAQ,product,tare,genre,etat,date_classement,Proprio,DB
G44,1,,W96163,maple.P0092,11024,G44,44,G,L,41059,maple.P0092,FAUX
G44,1,,W9614,maple.P0176,19223,G44,44,G,L,41416,maple.P0176,FAUX
G44,1,,W96121,maple.P0176,19223,G44,44,G,L,41416,maple.P0176,FAUX
G44,1,,W95967,maple.P0069,3919,G44,44,G,L,41388,maple.P0069,FAUX
G44,1,,W95895,maple.P0132,15359,G44,44,G,L,41417,maple.P0132,FAUX
G44,1,,W95888,maple.P0069,3919,G44,44,G,L,41023,maple.P0069,FAUX
G44,1,,W95815,maple.partner_lbmtreat_hq,15668,G44,44,G,L,41015,maple.partner_lbmtreat_hq,FAUX
G44,1,,W95795,maple.P0066,4064,G44,44,G,L,41066,maple.P0066,FAUX
G44,1,,W95793,maple.P0097,9331,G44,44,G,L,41409,maple.P0097,FAUX
G44,1,,W9572,maple.P0151,151,G44,44,G,O,41398,maple.P0151,FAUX
G44,1,,W939,maple.P0014,18899,G44,44,G,L,41052,maple.P0014,FAUX
G44,1,,W9363,maple.P0151,151,G44,44,G,O,41398,maple.P0151,FAUX
G45,1,,W932789,maple.P0151,151,G45,45,G,O,41365,maple.P0151,FAUX
G45,1,,W932738,maple.P0061,1075,G45,45,G,L,41051,maple.P0061,FAUX
G45,1,,W932735,maple.P0061,1075,G45,45,G,L,41053,maple.P0061,FAUX
G45,1,,W932723,maple.P0061,1075,G45,45,G,L,41415,maple.P0061,FAUX
G45,1,,W932712,maple.P0061,1075,G45,45,G,L,41053,maple.P0061,FAUX
G45,1,,W932700,maple.P0084,15348,G45,45,G,L,41039,maple.P0084,FAUX
G45,1,,W932696,maple.P0084,15348,G45,45,G,L,41039,maple.P0084,FAUX
G45,1,,W932617,maple.P0061,1075,G45,45,G,L,41051,maple.P0061,FAUX
G45,1,,W932612,maple.P0084,15348,G45,45,G,L,41039,maple.P0084,FAUX
G45,1,,W932592,maple.P0061,1075,G45,45,G,L,41051,maple.P0061,FAUX
G45,1,,W932587,maple.P0084,15348,G45,45,G,L,41039,maple.P0084,FAUX
G45,1,,W932580,maple.P0089,12066,G45,45,G,O,41422,maple.P0089,FAUX
G45,1,,W932557,maple.P0061,1075,G45,45,G,L,41415,maple.P0061,FAUX
G45,1,,W932520,maple.P0066,4064,G45,45,G,B,41068,maple.P0066,FAUX
G45,1,,W932519,maple.P0066,4064,G45,45,G,L,41066,maple.P0066,FAUX
G45,1,,W932510,maple.P0066,4064,G45,45,G,L,41443,maple.P0066,FAUX
G45,1,,W932509,maple.P0066,4064,G45,45,G,L,41444,maple.P0066,FAUX
G44,1,,W932507,maple.P0092,11024,G44,44,G,B,41059,maple.P0092,FAUX
G45,1,,W932506,maple.P0066,4064,G45,45,G,L,41066,maple.P0066,FAUX
G45,1,,W932500,maple.P0066,4064,G45,45,G,L,41066,maple.P0066,FAUX
G45,1,,W932499,maple.P0066,4064,G45,45,G,B,41067,maple.P0066,FAUX
G45,1,,W932463,maple.P0066,4064,G45,45,G,L,41066,maple.P0066,FAUX
G45,1,,W932448,maple.P0066,4064,G45,45,G,L,41443,maple.P0066,FAUX
G45,1,,W932432,maple.P0092,11024,G45,45,G,L,41059,maple.P0092,FAUX
G45,1,,W932427,maple.P0066,4064,G45,45,G,L,41068,maple.P0066,FAUX
G45,1,,W932424,maple.P0092,11024,G45,45,G,L,41059,maple.P0092,FAUX
G45,1,,W932274,maple.P0066,4064,G45,45,G,L,41066,maple.P0066,FAUX
G44,1,,W911,base.main_partner,150,G44,44,G,O,41003,base.main_partner,FAUX
G41,1,,W9098,maple.P0084,15348,G41,41,G,L,41039,maple.P0084,FAUX
G44,1,,W908,maple.P0014,18899,G44,44,G,O,41052,maple.P0014,FAUX
G44,1,,W876,N/D,13964,G44,44,G,L,41031,N/D,FAUX
